









Frequency of observations in the selected location(s).:
Number of taxa: 	725

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Mute Swan	0.0810876	0.0926208	0.0808619	0.0779653	0.0717175	0.0570958	0.0561949	0.0873221	0.0878306	0.0810255	0.0796145	0.0821586	0.0825965	0.076157	0.0772392	0.0704147	0.0547131	0.0508833	0.0517194	0.051398	0.0416966	0.0390201	0.0366939	0.0348402	0.0361831	0.0407234	0.0419132	0.0530614	0.0531145	0.0556305	0.057089	0.0539837	0.0607525	0.0578388	0.0624908	0.0651207	0.0624029	0.0613738	0.0707664	0.070409	0.0826264	0.0721246	0.0815921	0.0844931	0.0813445	0.0780175	0.0711318	0.0778813	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89E-5	0.0	4.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83E-5	0.0	0.0	0.0	4.31E-5	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0027961	0.0036342	0.0021582	0.0026657	0.0034037	0.0027464	0.0021733	0.0047546	0.0047933	0.0067547	0.0070571	0.0061645	0.0081273	0.0081395	0.0086894	0.006588	0.0044515	0.0046868	0.0043145	0.006427	0.0038788	0.0037439	0.0027975	0.0030402	0.0021422	0.004047	0.0045275	0.0039121	0.0036885	0.006605	0.009157	0.0103895	0.0093967	0.007581	0.0037605	0.0041103	0.0053077	0.0053854	0.0054172	0.0042398	0.0038599	0.0030701	0.0022603	0.0031884	0.0027174	0.0020157	0.0023249	0.0021285	
Tundra Swan	0.0075362	0.0114218	0.010582	0.0114049	0.0112922	0.006678	0.007534	0.0178476	0.0238629	0.0373043	0.0191253	0.0085209	0.0033356	0.0018935	0.0016587	5.535E-4	3.488E-4	1.639E-4	1.269E-4	1.452E-4	3.128E-4	0.0	7.27E-5	3.04E-5	1.558E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.516E-4	4.064E-4	0.001526	0.004692	0.0084436	0.0121468	0.0159325	0.0207247	0.0154182	0.0126275	0.0076672	0.0093164	
Trumpeter/Tundra Swan	3.994E-4	7.268E-4	3.829E-4	3.847E-4	2.803E-4	3.758E-4	5.174E-4	6.032E-4	6.207E-4	0.0015045	0.0010082	6.943E-4	6.354E-4	5.902E-4	1.98E-4	1.428E-4	3.32E-5	3.28E-5	1.81E-5	7.26E-5	3.13E-5	0.0	3.63E-5	0.0	0.0	0.0	0.0	0.0	0.0	4.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	7.58E-5	1.355E-4	3.433E-4	5.088E-4	6.433E-4	8.899E-4	0.001709	0.0012495	7.68E-4	7.707E-4	3.957E-4	6.979E-4	
swan sp.	9.32E-4	0.0015229	7.31E-4	0.0012092	0.0011613	8.673E-4	0.0014075	0.0014903	8.621E-4	0.0026098	0.0018977	0.001052	6.883E-4	5.41E-4	5.199E-4	3.392E-4	3.654E-4	3.933E-4	1.632E-4	1.997E-4	1.564E-4	2.582E-4	1.453E-4	1.52E-4	2.337E-4	8.43E-5	1.793E-4	1.552E-4	9.22E-5	3.721E-4	3.067E-4	1.497E-4	3.452E-4	1.154E-4	1.843E-4	2.147E-4	3.033E-4	1.016E-4	3.433E-4	7.066E-4	8.041E-4	0.0014238	0.0016539	0.0016804	0.0010633	0.0013042	7.42E-4	0.0011166	
Egyptian Goose	0.0	0.0	0.0	2.75E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.632E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49E-5	
Ruddy Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.198E-4	3.84E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9E-5	0.0	0.0	0.0	0.0	0.0	0.0	
South African Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	3.196E-4	8.999E-4	3.133E-4	2.199E-4	3.604E-4	1.445E-4	2.277E-4	4.968E-4	4.483E-4	3.07E-4	4.744E-4	2.525E-4	3.442E-4	3.934E-4	4.456E-4	3.035E-4	1.495E-4	1.803E-4	1.994E-4	1.997E-4	3.441E-4	1.936E-4	2.906E-4	2.736E-4	4.284E-4	8.43E-5	2.69E-4	2.173E-4	1.383E-4	1.861E-4	4.381E-4	1.198E-4	7.67E-5	1.154E-4	3.318E-4	9.2E-5	7.58E-5	3.726E-4	2.67E-4	5.65E-5	2.815E-4	2.225E-4	1.654E-4	1.723E-4	2.954E-4	1.186E-4	1.484E-4	2.791E-4	
