









Frequency of observations in the selected location(s).:
Number of taxa: 	452

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Red-crested Pochard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044053	0.0	
Canvasback	0.0307018	0.0657895	0.0393258	0.0295082	0.005	0.0089286	0.0037736	0.0098039	0.047619	0.0181818	0.013245	0.0163488	0.0118694	0.0082645	0.0131148	0.0	0.0027701	0.0	0.001912	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0042017	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0015	0.00489	0.0110193	0.0102041	0.0015	0.0092593	0.0141844	0.0171674	0.0220264	0.0392749	
Redhead	0.0131579	0.0526316	0.0280899	0.0393443	0.005	0.0178571	0.0150943	0.004902	0.047619	0.0218182	0.013245	0.0027248	0.0059347	0.0055096	0.0098361	0.0026525	0.0083102	0.0015	0.0076482	0.0109649	0.0	0.0027397	0.0026455	0.0015	0.0	0.0	0.0015	0.0015	0.003876	0.0015	0.0	0.0143737	0.004878	0.0015	0.0030675	0.0	0.0107914	0.0015	0.0015	0.00978	0.0110193	0.0127551	0.0076336	0.0023148	0.0070922	0.0128755	0.0044053	0.0120846	
Ring-necked Duck	0.0438596	0.0175439	0.0224719	0.0590164	0.025	0.0267857	0.0226415	0.0588235	0.0571429	0.0545455	0.0728477	0.0899183	0.1246291	0.077135	0.0655738	0.0212202	0.0138504	0.0015	0.0015	0.0015	0.0015	0.0027397	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0020534	0.002439	0.0034364	0.0030675	0.0015	0.0251799	0.012012	0.0265152	0.0171149	0.0330579	0.0331633	0.0343511	0.0439815	0.0177305	0.0128755	0.0220264	0.0181269	
Tufted Duck	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.004902	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002445	0.0	0.0	0.0015	0.0	0.0	0.0042918	0.0	0.0015	
Greater Scaup	0.0307018	0.0614035	0.0505618	0.0721311	0.035	0.03125	0.045283	0.0490196	0.0619048	0.0327273	0.0397351	0.0517711	0.041543	0.0330579	0.0196721	0.005305	0.0083102	0.0051414	0.0057361	0.0	0.0	0.0	0.0026455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020534	0.0	0.0034364	0.0	0.0015	0.0215827	0.009009	0.0113636	0.00978	0.0330579	0.0382653	0.0496183	0.0416667	0.0283688	0.0515021	0.0572687	0.0332326	
Lesser Scaup	0.0087719	0.0263158	0.0168539	0.0131148	0.015	0.0223214	0.0015	0.004902	0.0333333	0.0072727	0.013245	0.0245232	0.0593472	0.0220386	0.0229508	0.0106101	0.0138504	0.0051414	0.001912	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0030395	0.0179856	0.009009	0.0227273	0.0195599	0.0330579	0.0331633	0.0152672	0.0231481	0.0106383	0.0171674	0.0220264	0.0090634	
Greater/Lesser Scaup	0.004386	0.004386	0.0	0.0	0.0	0.0044643	0.0037736	0.0	0.0015	0.0	0.0015	0.0054496	0.0118694	0.0	0.0032787	0.005305	0.0027701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0037879	0.002445	0.0055096	0.002551	0.0015	0.0015	0.0035461	0.0	0.0015	0.0	
Aythya sp.	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King Eider	0.0	0.0015	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0072727	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0025707	0.001912	0.0015	0.0022371	0.0	0.0	0.0	0.0015	0.0	0.0042017	0.0034965	0.0	0.0040816	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0027548	0.0	0.0	0.0	0.0035461	0.0015	0.0132159	0.0030211	
Common Eider	0.0219298	0.0015	0.0015	0.0098361	0.0015	0.0015	0.0	0.0	0.0095238	0.0072727	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0038241	0.002193	0.0022371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030675	0.0015	0.0	0.003003	0.0	0.0	0.0027548	0.0	0.0015	0.0015	0.0035461	0.0015	0.0088106	0.0181269	
